Spec01	Spec02	Spec03	Spec04	Spec05	Spec06	Spec07	Spec08	Spec09	Spec10	Spec11	Spec12	Spec13	Spec14	Spec15	Spec16	Spec17	Spec18	Spec19	Spec20	Spec21	Spec22	Spec23	Spec24	Spec25	Spec26	Spec27	Spec28	Spec29	Spec30	Spec31	Spec32	Spec33	Spec34	Spec35
1	17	5	5	3	2	1	4	2	2	1	4	1	17	4	9	50	3	1	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	7	16	0	6	0	4	2	0	0	1	3	21	27	12	138	6	0	1	3	9	1	1	1	2	2	2	1	0	0	0	0	0	0	0
3	4	3	1	1	2	0	3	0	0	0	6	3	20	17	10	89	3	0	2	1	8	0	3	0	2	0	8	0	0	0	0	0	0	0	0
4	23	7	10	2	2	0	4	0	1	2	10	0	18	47	17	108	10	1	0	1	2	1	2	1	3	2	12	0	0	0	0	0	0	0	0
5	5	8	13	9	0	13	0	0	0	3	14	3	32	43	27	5	1	0	5	2	1	0	1	0	0	0	12	2	0	0	0	0	0	0	0
6	19	7	5	9	3	2	3	0	0	20	16	2	13	38	39	3	5	0	1	1	8	0	4	0	1	0	10	0	0	0	0	0	0	0	0
7	17	3	8	2	3	0	3	0	0	19	3	0	22	27	37	0	4	0	0	1	3	0	0	0	0	0	9	0	1	0	0	0	0	0	0
8	5	4	8	2	1	2	3	0	0	1	4	10	12	25	26	0	6	0	3	1	3	2	0	0	0	0	6	1	0	1	0	0	0	0	0
9	3	3	2	2	1	1	12	0	0	0	3	9	20	8	19	30	7	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	22	4	5	3	0	0	0	0	0	11	4	5	16	33	29	0	8	2	1	5	2	0	0	0	0	3	10	0	1	2	0	0	0	0	0
11	36	7	35	9	0	2	5	0	0	0	6	1	42	17	15	0	2	5	6	3	4	1	1	1	0	3	7	3	3	0	1	1	0	0	0
