species,temperature,growth_rate,temp_approx
1,8.658600905,1.714906743,9
1,11.21833496,1.926417235,11
1,13.64253864,1.926928671,13
1,16.23359811,1.724943662,16
1,18.52994294,1.413191836,19
1,20.98291486,1.033962505,21
1,22.97623424,0.72214675,23
1,25.87543352,0.452716201,26
1,28.4652144,0.26760856,28
1,30.89645032,0.175294475,31
2,9.000623312,1.200210967,9
2,11.2464639,1.555115153,11
2,13.49869744,1.825632502,13
2,16.06674232,1.927440106,16
2,18.95315572,1.826783231,19
2,21.24630408,1.557224824,21
2,24.00038358,1.203375473,23
2,26.14777286,0.857836948,26
2,28.59690901,0.529239719,28
2,31.03645575,0.327222746,31
3,9.038341671,0.702328629,9
3,11.28801803,1.006600713,11
3,13.68217488,1.403730282,13
3,16.2342374,1.716504979,16
3,18.49222458,1.911074174,19
3,21.06794099,1.911617574,21
3,23.81051319,1.70966453,23
3,25.9553453,1.39788074,26
3,28.71134268,1.018715338,28
3,31.16239671,0.664802059,31
4,9.367578194,0.356406527,9
4,11.62556538,0.550975723,11
4,13.87460244,0.86368649,13
4,16.11980374,1.22702936,16
4,18.8221004,1.556713388,19
4,21.22648596,1.818824018,21
4,23.18656204,1.945819815,23
4,26.07297544,1.84516294,26
4,28.66978855,1.567229778,28
4,31.27555179,1.171155045,31
5,9.077338618,0.187568924,9
5,11.34555451,0.24711918,11
5,13.90720644,0.433313622,13
5,16.16327574,0.653198868,16
5,18.71469897,0.974412249,19
5,21.10885582,1.371541818,21
5,23.3566143,1.701129953,23
5,26.06850038,1.904233726,26
5,28.1890393,1.913119916,28
5,31.08184564,1.728076204,31
