species,temperature,growth
a,8.895494807,0.07623052
a,11.38494199,0.125905067
a,13.73925813,0.212649905
a,16.26973411,0.340202174
a,18.62069534,0.502348431
a,21.10370772,0.696645373
a,23.67719244,0.857576166
a,26.12011099,0.952981875
a,28.61175811,0.953212869
a,31.0187077,0.857020682
b,8.895494807,0.162752614
b,11.38494199,0.266815071
b,13.73925813,0.421553045
b,16.26973411,0.601021045
b,18.62069534,0.778012743
b,21.10370772,0.916681562
b,23.67719244,0.96632311
b,26.12011099,0.915911585
b,28.61175811,0.776448039
b,31.0187077,0.603638969
c,8.895494807,0.338281355
c,11.38494199,0.504152379
c,13.73925813,0.697209107
c,16.26973411,0.854402759
c,18.62069534,0.951065181
c,21.10370772,0.952519889
c,23.67719244,0.857576166
c,26.12011099,0.698355823
c,28.61175811,0.504516743
c,31.0187077,0.339103581
d,8.895494807,0.599096101
d,11.38494199,0.777319763
d,13.73925813,0.912280316
d,16.26973411,0.965667254
d,18.62069534,0.920158835
d,21.10370772,0.779479825
d,23.67719244,0.604182078
d,26.12011099,0.422703886
d,28.61175811,0.268423774
d,31.0187077,0.16853982
e,8.895494807,0.854954118
e,11.38494199,0.951604166
e,13.73925813,0.953071248
e,16.26973411,0.856883186
e,18.62069534,0.696418505
e,21.10370772,0.506291816
e,23.67719244,0.335954923
e,26.12011099,0.219981191
e,28.61175811,0.122569415
e,31.0187077,0.082001226
