x	y
1	0.2	0.1
2	1	0.1
3	1.2	0.3
4	1.4	0.5
5	2.4	0.7
6	1.8	0.9
7	0.05	1.1
8	2	1.3
9	2	1.5
10	1.2	1.7
11	2.4	1.9
12	0.2	2.1
13	0.4	2.1
14	2	2.3
15	2.2	2.3
16	0.05	2.7
17	0.2	2.7
18	2.2	2.7
19	2.4	2.7
20	1.2	2.9
21	0.05	3.1
22	1.4	3.1
23	2.4	3.1
24	0.2	3.5
25	1.2	3.7
26	0.8	3.9
27	1.6	3.9
28	0.2	4.1
29	0.8	4.1
30	1.8	4.5
31	0.2	4.7
32	1.4	4.7
33	0.6	5.3
34	1	5.3
35	2.4	5.3
36	1.4	5.5
37	1.8	5.5
38	0.4	5.9
39	1	5.9
40	1.8	5.9
41	2	5.9
42	0.05	6.1
43	0.2	6.1
44	0.4	6.1
45	1.2	6.1
46	1.6	6.1
47	1.6	6.3
48	0.4	6.5
49	1.8	6.7
50	0.6	6.9
51	2	7.1
52	0.05	7.3
53	0.4	7.3
54	1.4	7.5
55	2.2	7.5
56	0.2	7.9
57	1.6	7.9
58	2.4	7.9
59	0.05	8.1
60	1.2	8.1
61	1.4	8.1
62	2	8.1
63	1.6	8.5
64	1.6	8.7
65	1	8.9
66	1.6	8.9
67	2.4	9.1
68	2.2	9.3
69	1.8	9.5
70	0.4	9.7
